symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url
A,Agilent Technologies Inc. Common Stock,$119.68,0.19,0.159%,1273292,35350575744.00,United States,1999,Biotechnology: Laboratory Analytical Instruments,Industrials,/market-activity/stocks/a
AA,Alcoa Corporation Common Stock ,$28.23,-0.52,-1.809%,5393815,5037632349.00,United States,2016,Aluminum,Industrials,/market-activity/stocks/aa
AAC,Ares Acquisition Corporation Class A Ordinary Shares,$10.69,0.00,0.00%,10218,769648796.00,,2021,Metal Fabrications,Industrials,/market-activity/stocks/aac
AACG,ATA Creativity Global American Depositary Shares,$1.23,0.02,1.653%,1138,38895269.00,China,2008,Educational Services,Consumer Discretionary,/market-activity/stocks/aacg
AACI,Armada Acquisition Corp. I Common Stock,$10.61,0.02,0.189%,150,0.00,United States,2021,Blank Checks,Finance,/market-activity/stocks/aaci
AACIW,Armada Acquisition Corp. I Warrant,$0.0781,-0.0113,-12.64%,100,0.00,United States,2021,Blank Checks,Finance,/market-activity/stocks/aaciw
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,$10.22,0.02,0.196%,3901348,0.00,,2023,,,/market-activity/stocks/aact
AADI,Aadi Bioscience Inc. Common Stock,$7.13,0.52,7.867%,178701,174826602.00,United States,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aadi
AAIC,Arlington Asset Investment Corp Class A (new),$4.47,0.03,0.676%,32386,126771212.00,United States,,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/aaic
AAIC^B,Arlington Asset Investment Corp 7.00% ,$19.1501,-0.7044,-3.548%,333,,United States,,,,/market-activity/stocks/aaic^b
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,$23.84,-0.16,-0.667%,1525,,United States,,,,/market-activity/stocks/aaic^c
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,$23.55,-0.14,-0.591%,521,667888527.00,United States,,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/aain
AAL,American Airlines Group Inc. Common Stock,$14.58,0.01,0.069%,15550206,9526038897.00,United States,,Air Freight/Delivery Services,Consumer Discretionary,/market-activity/stocks/aal
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,$25.33,0.01,0.039%,37918,,United States,,,,/market-activity/stocks/aam^a
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,$25.32,-0.01,-0.039%,9001,,United States,,,,/market-activity/stocks/aam^b
AAMC,Altisource Asset Management Corp Com,$8.585,-0.055,-0.637%,32225,15149589.00,United States,,Real Estate,Finance,/market-activity/stocks/aamc
AAME,Atlantic American Corporation Common Stock,$2.00,0.02,1.01%,1880,40804576.00,United States,,Life Insurance,Finance,/market-activity/stocks/aame
